Invoice No.,Date,Payment Due Date,Days past due date,Customer Name,Total Amount Due,Late Fee,Total Paid,Date Paid,Outstanding / Balance Due
1001,01-04-2025,15-04-2025,37,Acme Corp,5000,150,4000,20-04-2025,1150
1002,29-03-2025,12-04-2025,40,Blue Sky LLC,3200,96,3200,13-04-2025,96
1003,10-04-2025,24-04-2025,28,Sunrise Ltd,4500,135,0,,4635
1004,25-03-2025,08-04-2025,44,Green Fields,2100,63,2100,09-04-2025,63
1005,05-04-2025,19-04-2025,33,NextGen Inc,6000,180,6000,20-04-2025,180
1006,12-04-2025,26-04-2025,26,Peak Solutions,2750,83,2000,27-04-2025,833
1007,30-03-2025,13-04-2025,39,Urban Tech,5200,156,0,,5356
1008,03-04-2025,17-04-2025,35,Red Maple,1800,54,1800,18-04-2025,54
1009,08-04-2025,22-04-2025,30,Blue Ocean,3900,117,3900,23-04-2025,117
1010,28-03-2025,11-04-2025,41,Starlight LLC,2400,72,1000,12-04-2025,1472
1011,06-04-2025,20-04-2025,32,Prime Goods,3600,108,3600,21-04-2025,108
1012,02-04-2025,16-04-2025,36,Silverline,4100,123,4100,17-04-2025,123
1013,27-03-2025,10-04-2025,42,Golden Gate,2900,87,0,,2987
1014,09-04-2025,23-04-2025,29,Evergreen Ltd,4700,141,4700,24-04-2025,141
1015,04-04-2025,18-04-2025,34,QuickStart,3500,105,3500,19-04-2025,105
1016,31-03-2025,14-04-2025,38,Alpha Group,3100,93,0,,3193
1017,07-04-2025,21-04-2025,31,Metro Supplies,2700,81,2700,22-04-2025,81
1018,11-04-2025,25-04-2025,27,Delta Co,5300,159,4000,26-04-2025,1459
1019,13-04-2025,27-04-2025,25,Zenith Works,2200,66,2200,28-04-2025,66
1020,14-04-2025,28-04-2025,24,North Star,4800,144,0,,4944
